DATE,SOLD TO,MONTH,PO,PRETTURE ORDER,STYLE CODE,COL,SIZE,BARCODE,PRICE,DOD,SALE MEDIUM,SALE POINTER,COLLECTION,SILHOUETTE,PRICE RANGE
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,S507,METALLIC,L,,7083,,ANANTAM SOUTH EX,CORPORATE OFFLINE,SALE,KURTA,6-8K
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,S504,PLUM,M,,5903,,ANANTAM SOUTH EX,CORPORATE OFFLINE,SALE,KURTA,LESS THAN 6K
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,S499,AMBER,S,,5667,,ANANTAM SOUTH EX,CORPORATE OFFLINE,SALE,KURTA,LESS THAN 6K
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,VSS198,PRUSSIAN,M,,6433,,ANANTAM SOUTH EX,CORPORATE OFFLINE,SS22,KURTA,6-8K
16-Jun-23,ANANTAM SOUTH EX,Jun-23,JUNE SALE,N/A,S-528,SAPPHIRE,M,,6612,,ANANTAM SOUTH EX,CORPORATE OFFLINE,SALE,KURTA,6-8K
16-Jun-23,ANANTAM GURGAON,Jun-23,JUNE SALE,N/A,S496,AQUA,S,,5313,,ANANTAM GURGAON,CORPORATE OFFLINE,SALE,KURTA,LESS THAN 6K
16-Jun-23,ANANTAM GURGAON,Jun-23,JUNE SALE,N/A,S498,AQUA,L,,5841,,ANANTAM GURGAON,CORPORATE OFFLINE,SALE,KURTA,LESS THAN 6K
16-Jun-23,ANANTAM GURGAON,Jun-23,JUNE SALE,N/A,VSS253,ELECTRIC BLUE,M,,6493,,ANANTAM GURGAON,CORPORATE OFFLINE,SALE,KURTA,6-8K
16-Jun-23,ANANTAM GURGAON,Jun-23,JUNE SALE,N/A,S494,SAPPHIRE,M,,6549,,ANANTAM GURGAON,CORPORATE OFFLINE,SALE,KURTA,6-8K
16-Jun-23,ANANTAM GURGAON,Jun-23,JUNE SALE,N/A,VSS208,BUTTER,M,,7533,,ANANTAM GURGAON,CORPORATE OFFLINE,SALE,KURTA,6-8K
16-Jun-23,ANANTAM GURGAON,Jun-23,JUNE SALE,N/A,VSS336,RUE,L,,12745,,ANANTAM GURGAON,CORPORATE OFFLINE,SS23,KURTA,12-14K
16-Jun-23,ANANTAM GURGAON,Jun-23,JUNE SALE,N/A,VSS347,SAND,L,,12865,,ANANTAM GURGAON,CORPORATE OFFLINE,SS23,KURTA,12-14K
16-Jun-23,ANANTAM GURGAON,Jun-23,JUNE SALE,N/A,VSS362,RUE,S,,10475,,ANANTAM GURGAON,CORPORATE OFFLINE,SS23,CO-ORD,10-12K
16-Jun-23,ANANTAM GURGAON,Jun-23,JUNE SALE,N/A,VSS335,SKY,L,,9885,,ANANTAM GURGAON,CORPORATE OFFLINE,SS23,CO-ORD,8-10K
16-Jun-23,ANANTAM GURGAON,Jun-23,JUNE SALE,N/A,VSS332,RUE,S,,8455,,ANANTAM GURGAON,CORPORATE OFFLINE,SS23,DRESS,8-10K
19-Jun-23,PERNIA MUMBAI,Jun-23,483517,10532,VSS346,HIBISCUS,M,,13985,26-Jun-23,PERNIA,CORPORATE ONLINE,SS23,KURTA,12-14K
19-Jun-23,OGAAN ONLINE,Jun-23,112578,10531,VSS344,RUE,L,OS23989,12985,08-Jul-23,OGAAN ONLINE,CORPORATE ONLINE,SS23,KURTA,12-14K
19-Jun-23,OGAAN ONLINE,Jun-23,112577,10530,VSS346,HIBISCUS,L,,13985,08-Jul-23,OGAAN ONLINE,CORPORATE ONLINE,SS23,KURTA,12-14K
19-Jun-23,AZA ONLINE KOLKATA,Jun-23,245520,10529,VSS328,PEARL,MTM,,12285,09-Jul-23,AZA ONLINE,CORPORATE ONLINE,SS23,KURTA,12-14K
19-Jun-23,AZA ONLINE KOLKATA,Jun-23,245348,10528,VSS244,IRIS,M,OS23751,11445,25-Jun-23,AZA ONLINE,CORPORATE ONLINE,PRE FESTIVE 22,CO-ORD,12-14K
19-Jun-23,AZA ONLINE KOLKATA,Jun-23,245347,10527,VSS190,PORCELAIN,M,,9895,09-Jul-23,AZA ONLINE,CORPORATE ONLINE,SS22,CO-ORD,8-10K
19-Jun-23,PERNIA MUMBAI,Jun-23,486401,10526,VSS350,SAND,S,,13985,03-Jul-23,AZA ONLINE,CORPORATE ONLINE,SS23,KURTA,12-14K
19-Jun-23,AZA ONLINE KOLKATA,Jun-23,245112,10525,VSS333,PEARL + OMBRE,S,OS22096,14575,23-Jun-23,AZA ONLINE,CORPORATE ONLINE,SS23,A-LINE,14-16K
19-Jun-23,MOGRA,Jun-23,,10535,VSS281,DAHLIA,L,OS19811,10345,25-Jun-23,MOGRA,CORPORATE OFFLINE,PRE FESTIVE 22,CO-ORD,10-12K
20-Jun-23,OGAAN ONLINE,Jun-23,112616,10542,VSS349,HIBISCUS,S,,9975,10-Jul-23,OGAAN ONLINE,CORPORATE ONLINE,SS23,JACKET DRESS,8-10K
20-Jun-23,EVOLUZIONE CHENNAI,Jun-23,Swarnalatha Mallavarapu,10549,VSS244,IRIS,XL,,11445,10-Jul-23,EVO CHENNAI,CORPORATE OFFLINE,PRE FESTIVE 22,CO-ORD,10-12K
21-Jun-23,AZA ONLINE KOLKATA,Jun-23,246336,10555,VSS211,PORCELAIN,M,,12495,11-Jul-23,AZA ONLINE,CORPORATE ONLINE,SS22,KURTA,12-14K
21-Jun-23,AZA ONLINE KOLKATA,Jun-23,246265,10554,VSS41,PLUM,XS,OS23875,14675,27-Jun-23,AZA ONLINE,CORPORATE ONLINE,FESTIVE 20,ANARKALI,14-16K
21-Jun-23,PERNIA MUMBAI,Jun-23,488039,10553,VSS3,CAMELLIA,M,,12995,06-Jul-23,PERNIA,CORPORATE ONLINE,FESTIVE 22,KURTA,12-14K
22-Jun-23,PERNIA MUMBAI,Jun-23,488490,10571,VSS3,SAPPHIRE,L,,12995,05-Jul-23,PERNIA,CORPORATE ONLINE,FESTIVE 20,KURTA,12-14K
22-Jun-23,EVOLUZIONE CHENNAI,Jun-23,MS USHA BHANDHARI ORDER NO 150,10574 A,OSV1133,BLUSH PINK,XL,,12705,06-Jul-23,EVO CHENNAI,CORPORATE OFFLINE,SS20,KURTA,12-14K
22-Jun-23,EVOLUZIONE CHENNAI,Jun-23,MS USHA BHANDHARI ORDER NO 150,10574 B,VSS343,SEAFOAM,XL,OS24244,12785,06-Jul-23,EVO CHENNAI,CORPORATE OFFLINE,SS23,KURTA,12-14K
23-Jun-23,AZA ONLINE KOLKATA,Jun-23,246986,10578,VSS332,RUE,M,OS24121,8455,15-Jul-23,AZA ONLINE,CORPORATE ONLINE,SS23,DRESS,8-10K
23-Jun-23,PERNIA MUMBAI,Jun-23,489218,10582,VSS280,MARIGOLD,XS,OS23766,8695,27-Jun-23,PERNIA,CORPORATE ONLINE,PRE FESTIVE 22,DRESS,8-10K
24-Jun-23,AZA ONLINE KOLKATA,Jun-23,247196,10591,VSS244,IRIS,S,OS24369,11445,30-Jun-23,AZA ONLINE,CORPORATE ONLINE,PRE FESTIVE 22,CO-ORD,10-12K
24-Jun-23,AZA ONLINE KOLKATA,Jun-23,247158,10590,VSS3,CAMELLIA,M,,12995,15-Jul-23,AZA ONLINE,CORPORATE ONLINE,FESTIVE 22,KURTA,10-12K
26-Jun-23,PERNIA MUMBAI,Jun-23,490700,10603,VSS3,SAPPHIRE,L,OS24303,12995,29-Jun-23,PERNIA,CORPORATE ONLINE,FESTIVE 20,KURTA,12-14K
26-Jun-23,OGAAN ONLINE,Jun-23,112990,10601,VSS349,HIBISCUS,XL,OS24356,9975,15-Jul-23,OGAAN ONLINE,CORPORATE ONLINE,SS23,DRESS,8-10K
27-Jun-23,EVOLUZIONE CHENNAI,Jun-23,Prachi Agarwal,10613,VSS249,HONEYSUCKLE,M,OS20397,12985,15-Jul-23,EVOLUZIONE CHENNAI,CORPORATE OFFLINE,PRE FESTIVE 22,KURTA,12-14K
27-Jun-23,AZA ONLINE KOLKATA,Jun-23,248251,10612,VSS340,HIBISCUS,L,OS23652,9625,18-Jul-23,AZA ONLINE,CORPORATE ONLINE,SS23,CO-ORD,8-10K
27-Jun-23,OGAAN ONLINE,Jun-23,113139,10611,VSS350,SAND,M,,13985,17-Jul-23,OGAAN ONLINE,CORPORATE ONLINE,SS23,KURTA,12-14K
29-Jun-23,PERNIA MUMBAI,Jun-23,492684,10653,VSS3,CAMELLIA,M,OS24279,12995,05-Jul-23,PERNIA,CORPORATE ONLINE,FESTIVE 22,KURTA,12-14K
29-Jun-23,AZA ONLINE KOLKATA,Jun-23,248864,10655,VSS338,SAND,L,OS22098,9485,05-Jul-23,AZA ONLINE,CORPORATE ONLINE,SS23,CO-ORD,8-10K
30-Jun-23,PERNIA MUMBAI,Jun-23,493681,10670,VSS244,IRIS,M,OS24367,11445,16-Jul-23,PERNIA,CORPORATE ONLINE,PRE FESTIVE 22,CO-ORD,10-12K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 A,VSS343,SEAFOAM,M,OS24059,12785,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,SS23,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 B,VSS228,TUSCANY,L,OS24057,12745,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,SS22,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 C,VSS279,INDIGO,L,OS20427,13985,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,PRE FESTIVE 22,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 D,VSS300,PETUNIA,S,OS23015,13585,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,FESTIVE 22,KURTA,12-14K
30-Jun-23,G3 FASHION,Jun-23,2ND ORDER,10666 E,VSS312,RUE,L,OS21367,12895,30-Jun-23,G3 FASHION,CORPORATE OFFLINE,FESTIVE 22,KURTA,12-14K
